ID,List,Age,Gender,NatLang_AE,KnowOtherLang,GrewUpWithOtherLangInHousehould,LangDis,Vocab,Vocab.MedSplit,ART(Hit-FalseAl),ART.MedSplit,MeanAcc_Total,Condition,Coherence,Ambiguity,Accuracy,TrialDwell,KEY_FF,KEY_GazeDur,KEY_RegrPath,KEY_ProbRegrOut,KEY_SecPass,COHCUE_FF,COHCUE_GazeDur,COHCUE_RegrPath,COHCUE_ProbRegrOut,COHCUE_SecPass,SPILLOVER_FF,SPILLOVER_GazeDur,SPILLOVER_RegrPath,SPILLOVER_ProbRegrOut,SPILLOVER_SecPass
s075,3,19,m,1,0,0,0,60,low,6,low,0.679715302,Coh_UA,Coh,UA,1,3056,185.2,230.5,470.2,0.2,259.25,190.6,236.2,236.2,0,NA,201.3333333,263.5555556,521.8888889,0.222222222,284.6666667
s076,4,20,m,1,0,0,0,70,high,11,low,0.850533808,Coh_UA,Coh,UA,1,2076.394366,259.7777778,259.7777778,259.7777778,0,NA,230.6666667,230.6666667,271,0.111111111,175,418.3,455.1,562,0.1,224
s077,1,19,f,1,0,0,0,68,high,13,high,0.765124555,Coh_UA,Coh,UA,0.833333333,3254.2,205.6666667,205.6666667,205.6666667,0,657,313.4,341.8,381.8,0.3,208,433.5,512.6,706.9,0.4,216
s078,2,21,f,1,0,0,0,59,low,6,low,0.765124555,Coh_UA,Coh,UA,1,4990.083333,295.8,313.6,391.1,0.2,208,272.3636364,286.8181818,302.4545455,0.090909091,237.5,310.0833333,420.0833333,1218.833333,0.5,455
s079,3,22,m,1,0,0,0,69,high,14,high,0.790035587,Coh_UA,Coh,UA,1,2335.181818,176,192.3,316.9,0.3,225,231.6363636,231.6363636,243.6363636,0.090909091,229,252.6,282,327.8,0.2,132
s080,4,20,f,1,0,0,0,57,low,11,low,0.807829181,Coh_UA,Coh,UA,1,3556.042254,203.5454545,239.6363636,239.6363636,0,338,222.1666667,373.0833333,373.0833333,0,257,387.9166667,492,566.75,0.25,200
s081,1,23,f,1,0,0,0,78,high,41,high,0.829181495,Coh_UA,Coh,UA,0.916666667,3292.454545,193.2222222,193.2222222,193.2222222,0,212.6,223.6363636,223.6363636,291.0909091,0.181818182,204.75,234.8,262.4,816.2,0.5,293.3333333
s082,2,18,m,1,0,0,0,53,low,9,low,0.807829181,Coh_UA,Coh,UA,0.916666667,3526.727273,212.7142857,294.8571429,351.8571429,0.142857143,125,230.75,351.625,432.375,0.375,NA,303.4545455,459.8181818,459.8181818,0,186
s083,3,19,m,1,0,0,0,65,low,8,low,0.854092527,Coh_UA,Coh,UA,0.909090909,3789.7,267.8888889,267.8888889,306.6666667,0.111111111,NA,248.4444444,248.4444444,310,0.222222222,314,205.5,340.7,465.5,0.3,273.3333333
s084,4,19,f,1,0,0,0,66,high,4,low,0.743772242,Coh_UA,Coh,UA,0.661971831,4339.021277,257.1666667,297,458.1666667,0.333333333,259.5,222.5714286,269.1428571,470.1428571,0.285714286,210.3333333,208.5,208.5,1115.25,0.875,246.2
s085,1,20,m,1,0,0,0,68,high,12,low,0.807829181,Coh_UA,Coh,UA,1,3437.166667,184.3333333,184.3333333,184.3333333,0,220.3333333,205.7,205.7,250.8,0.1,200,321.5,357.8333333,1131.25,0.75,313
s086,2,20,f,1,0,0,0,70,high,13,high,0.807829181,Coh_UA,Coh,UA,0.916666667,2308.181818,208,232.1428571,332.4285714,0.142857143,NA,221.875,255.25,255.25,0,NA,263.4,345,397.7,0.2,NA
s087,3,21,f,1,0,0,0,51,low,7,low,0.8113879,Coh_UA,Coh,UA,1,3491.545455,268.9,306.7,350.8,0.1,175,297.6,338.8,396.6,0.2,314,309.3333333,368.5555556,434.1111111,0.222222222,NA
s088,4,21,f,1,0,0,0,67,high,13,high,0.786476868,Coh_UA,Coh,UA,0.915492958,4349.246154,229.4545455,258.0909091,465.9090909,0.090909091,270.75,268.9,317.6,366.6,0.3,388.5,270.9,381.5,590.6,0.2,430.6666667
s089,1,19,m,1,0,0,0,65,low,14,high,0.871886121,Coh_UA,Coh,UA,1,3394.25,223.1818182,295.8181818,305.4545455,0.090909091,157,249.7272727,283.2727273,298.2727273,0.090909091,257.75,181.0909091,204.6363636,375.8181818,0.181818182,208.8
s090,2,19,f,1,0,0,0,61,low,21,high,0.807829181,Coh_UA,Coh,UA,1,3249,248,269.375,269.375,0,279,255.3333333,268,268,0,NA,279,402.8333333,692.9166667,0.416666667,535.6666667
s091,3,22,m,1,0,0,0,69,high,9,low,0.850533808,Coh_UA,Coh,UA,1,2938.818182,255,302.1818182,329.1818182,0.090909091,339,248.7272727,261.4545455,289.7272727,0.090909091,351,252.7,299.3,372.5,0.1,274
s092,4,19,m,1,0,0,0,77,high,31,high,0.893238434,Coh_UA,Coh,UA,1,1841.338028,181.0909091,181.0909091,200.4545455,0.090909091,106,231.625,253,253,0,NA,240.2,323.3,354.4,0.1,NA
